             Station      good/bad_point           el(degre)             time(s)               x(km)               y(km)               z(km)                 lon                 lat             alt(km)         residues(m)    residues(arcmin)                     date                Flux             FluxErr                 Mag distance_to_cam(km)              MagAbs
              ITER01                   1       46.0457750245       631175282.054       4512.66796284       854.039150506        4520.1863735        10.716691964       44.7337691126       76.4510255442       22.0231015472      0.721597014798  2020-01-01T18:26:52.870                  74                  99     -0.523959329708       104.919846316     -0.628247558575
              ITER01                   1        45.751411964       631175282.088       4511.86642712        854.19737644       4519.70418866       10.7204914678       44.7354680729       75.5731009856      -36.4716631527      -1.20281597523  2020-01-01T18:26:52.903                  82                  72     -0.637282959422       104.239012854      -0.72743440914
              ITER01                   1        45.723416868       631175282.121       4511.87551874       854.195581722       4519.70965797       10.7204483639       44.7354488002       75.5830589574       75.8590884376       2.50160797007  2020-01-01T18:26:52.937                 118                79.8      -1.03263268312       104.246711906        -1.122944511
              ITER01                   1       45.6194626095       631175282.154       4511.60304288       854.249369403       4519.54574297       10.7217402567       44.7360264238       75.2846197807       66.0504032715       2.18297332952  2020-01-01T18:26:52.970                 111                  17     -0.966903581981       104.016207282      -1.05240865275
              ITER01                   1       45.5295313291       631175282.188       4511.32943598       854.303380355       4519.38114756       10.7230376581       44.7366064843       74.9849441237       2.80775980499     0.0930032757356  2020-01-01T18:26:53.003                 102                 1.9     -0.875678107081       103.785239067     -0.956356057327
              ITER01                   1       45.1268465581       631175282.288       4510.30179304       854.506240638       4518.76294199       10.7279118874        44.738785489       73.8594101115      -21.1922904357     -0.707852332894  2020-01-01T18:26:53.103                 238                25.5      -1.79826151747        102.92221438      -1.86080712507
              ITER01                   1       44.9241243612       631175282.321       4509.84068624       854.597264721        4518.4855511       10.7300996412       44.7397633953        73.354389964       37.1987131413       1.24715360586  2020-01-01T18:26:53.137                 337                 0.3      -2.17724723996       102.537300773      -2.23165664365
              ITER01                   1       44.8077870823       631175282.355       4509.53155369        854.65828856       4518.29958431       10.7315665752       44.7404190599       73.0158209885       3.61392693768      0.121468100519  2020-01-01T18:26:53.170                 218                30.9      -1.70509764635       102.280068714      -1.75405270196
              ITER01                   1        44.665698689       631175282.388       4509.19627049       854.724474628        4518.0978859       10.7331578138       44.7411302462       72.6486146021       20.7792481666      0.700318778712  2020-01-01T18:26:53.204                 234                14.2      -1.78296076919       102.001826793      -1.82600051816
              ITER01                   1       44.5300497931       631175282.421       4508.85391355       854.792057076       4517.89193211        10.734782851       44.7418564976       72.2736645855       1.65517202385     0.0559392911373  2020-01-01T18:26:53.237                 240                 3.3      -1.81137775338       101.718526731      -1.84837805999
              ITER01                   1       44.4274861729       631175282.455        4508.6002911       854.842123027       4517.73935887       10.7359868474       44.7423945536       71.9958991254      -7.20803835538     -0.244110028271  2020-01-01T18:26:53.270                 316                22.7      -2.11077433974       101.509187549      -2.14330109883
              ITER01                   1       44.2694003724       631175282.488       4508.23587058       854.914060903       4517.52013215       10.7377170447       44.7431677249       71.5967919335       14.9745798058      0.508637709204  2020-01-01T18:26:53.304                 265                14.8      -1.92076942364        101.20919665       -1.9468693119
              ITER01                   1        44.130962627       631175282.522       4507.89301957       854.981740884       4517.31388113       10.7393450715       44.7438951968       71.2213110833      -3.99022261646     -0.135912709609  2020-01-01T18:26:53.337                 289                17.4      -2.01586942447       100.927830551      -2.03592411533
              ITER01                   1       43.9624779087       631175282.555        4507.5215135       855.055077471       4517.09039191       10.7411094265       44.7446835394       70.8144521671       37.2800997139       1.27364912052  2020-01-01T18:26:53.371                 299                44.7      -2.05399419264        100.62390743       -2.0675000819
              ITER01                   1       43.8282555068       631175282.588       4507.20944077       855.116681711       4516.90265637       10.7425917298       44.7453458193       70.4726856423       43.0629432556       1.47494687091  2020-01-01T18:26:53.404                 310                16.1      -2.09417814525       100.369383239      -2.10218442253
              ITER01                   1       43.7118303252       631175282.622       4506.90142233       855.177485621        4516.7173598       10.7440549628       44.7459995451       70.1353621582      -10.7704241201     -0.369820313628  2020-01-01T18:26:53.437                 391                25.1      -2.34705272533        100.11886743       -2.3496323659
              ITER01                   1       43.5590580575       631175282.655       4506.54306976       855.248225662       4516.50178341       10.7457575406       44.7467601606       69.7429194571      -15.3813655129     -0.529681874322  2020-01-01T18:26:53.471                 388                13.7      -2.33979720125       99.8282984812      -2.33606554558
              ITER01                   1       43.3724098438       631175282.689       4506.13003195        855.32976076       4516.25330968       10.7477202468       44.7476369309       69.2905942778       12.1793202392      0.420821111794  2020-01-01T18:26:53.504                 414                22.6      -2.41158507652       99.4945784869      -2.40058215877
              ITER01                   1       43.2192195147       631175282.722       4505.78319095       855.398228377       4516.04465838        10.749368652       44.7483732518       68.9107665392       19.0283984086      0.659321618234  2020-01-01T18:26:53.538                 316                10.2      -2.11943482978       99.2153367586      -2.10232888384
              ITER01                   1       43.0788029287       631175282.755       4505.45614711       855.462787966       4515.84791658       10.7509231847       44.7490676024       68.5526222424       8.07994257194      0.280707331057  2020-01-01T18:26:53.571                 385                 5.1      -2.33491659235        98.952871921      -2.31205860888
              ITER01                   1       42.9814283352       631175282.789        4505.2126873       855.510847779       4515.70145694       10.7520805548       44.7495845311       68.2860126172      -27.3467411796     -0.951934598963  2020-01-01T18:26:53.604                 384                 9.6      -2.33282456694       98.7580185534      -2.30568640601
              ITER01                   1       42.8162335429       631175282.822       4504.84833242       855.582772695       4515.48226971       10.7538128583       44.7503582096       67.8870158778      -14.7402072076     -0.514618761997  2020-01-01T18:26:53.638                 451                 0.2      -2.50868914168       98.4672616674       -2.4751484444
              ITER01                   1       42.6561992217       631175282.855        4504.4862292       855.654253129       4515.26443702       10.7555347144       44.7511271759       67.4904889786      -20.6462739537     -0.722928814751  2020-01-01T18:26:53.671                 609                 2.4      -2.83601522158       98.1793251761       -2.7961154351
              ITER01                   1       42.4911740891       631175282.889       4504.12044206       855.726460781       4515.04438817       10.7572743492       44.7519040351       67.0899321064      -18.6078742831     -0.653483345261  2020-01-01T18:26:53.704                 544                24.2      -2.71474416154       97.8895045259      -2.66842481306
              ITER01                   1       42.1579656178       631175282.956       4503.41147504       855.866413331       4514.61789046       10.7606468492       44.7534099399       66.3135864761       21.3346512815      0.753544911905  2020-01-01T18:26:53.771                 498                15.2      -2.62143401899       97.3308015913      -2.56268551963
              ITER01                   1       42.0211862761       631175282.989        4503.1042022       855.927070056       4514.43304242       10.7621088283       44.7540626947       65.9771160051       7.07698577893      0.250580986316  2020-01-01T18:26:53.805                 483                11.2      -2.58931697386       97.0899086588       -2.5251874364
              ITER01                   1       41.8671240897       631175283.022       4502.75619093        855.99576869       4514.22368711       10.7637648613        44.754802052       65.5960396291      -15.4419525246     -0.548302184803  2020-01-01T18:26:53.838                 541                 9.4      -2.71367936317        96.818003963      -2.64345998725
              ITER01                   1        41.695815601       631175283.056       4502.38890268       856.068272665       4514.00273523       10.7655128828       44.7555824325       65.1938588585      -12.3826462525     -0.440976592556  2020-01-01T18:26:53.871                 493                25.7      -2.61419293066       96.5321135791      -2.53755200671
              ITER01                   1        41.553089693       631175283.089       4502.07762024       856.129720899       4513.81547512       10.7669945654       44.7562438723       64.8530077765      -21.6252322706     -0.772058804659  2020-01-01T18:26:53.905                 811                 8.9      -3.15579669573       96.2906890408      -3.07371816803
              ITER01                   1       41.3655885104       631175283.123       4501.68878326       856.206478668       4513.58156003       10.7688456696       44.7570701781       64.4272395253      -4.77985704149     -0.171183411196  2020-01-01T18:26:53.938                 719                 1.7      -3.02661828099       95.9902482069      -2.93775385426
              ITER01                   1       41.2298155597       631175283.156       4501.39905693       856.263671653       4513.40726756       10.7702251389       44.7576859184       64.1099984068      -9.07115428119      -0.32562639009  2020-01-01T18:26:53.972                 687                 1.3      -2.97832274944       95.7672118305      -2.88440696715
              ITER01                   1       41.0842855635       631175283.189       4501.08799479       856.325076399       4513.22013997       10.7717063778       44.7583470516       63.7693981894      -17.3595256613     -0.624710200903  2020-01-01T18:26:54.005                 783                13.7      -3.12156247756       95.5285413679      -3.02222821017
              ITER01                   1       40.9120774694       631175283.223       4500.72893979       856.395955102       4513.00414102        10.773416389       44.7591102521       63.3762515417      -15.7072073788     -0.566877620486  2020-01-01T18:26:54.038                 862                 6.7      -3.22739292839       95.2540728851      -3.12181070019
              ITER01                   1       40.7413455898       631175283.256       4500.36887721       856.467032706       4512.78753592       10.7751314534       44.7598756622       62.9820056906      -24.9066046691     -0.901480841732  2020-01-01T18:26:54.072                 846                 7.8      -3.20852059211       94.9799471631      -3.09668021036
              ITER01                   1       40.5422706473        631175283.29       4499.97589691       856.544608381       4512.55112832       10.7770036038       44.7607111255       62.5517216572       5.33334300118      0.193644771447  2020-01-01T18:26:54.105                 843                   6       -3.2063977384       94.6820436816      -3.08773585573
              ITER01                   1       40.4001016252       631175283.323       4499.67563034       856.603882044       4512.37049508       10.7784342724       44.7613495369       62.2229554816      -9.76157740271     -0.355277253079  2020-01-01T18:26:54.139                1000                12.4      -3.39308070984       94.4553333553      -3.26921313528
              ITER01                   1       40.2610189155       631175283.357       4499.38646215       856.660964849       4512.19653837       10.7798122287       44.7619643963       61.9063437527      -19.2998581982     -0.704049319939  2020-01-01T18:26:54.172                1045                 7.6      -3.44210719505        94.237753961      -3.31323182856
              ITER01                   1       40.1112925103        631175283.39       4499.08148524        856.72116835       4512.01307151       10.7812656956       44.7626129174       61.5724258148      -21.4783766102     -0.785426456678  2020-01-01T18:26:54.205                1067                   2      -3.46607019009       94.0090840241       -3.3319192959
              ITER01                   1       39.9483589966       631175283.423       4498.74420356       856.787748925       4511.81017087       10.7828733345         44.76333019       61.2031409203      -36.5894772945      -1.34160810356  2020-01-01T18:26:54.239                1201                 0.1      -3.59599250025       93.7571610208      -3.45601474215
              ITER01                   1       39.7472675252       631175283.457       4498.35561614        856.86445743       4511.57640592       10.7847257976       44.7641566449        60.777686528      -11.4027051011     -0.419389885709  2020-01-01T18:26:54.272                1559                   7      -3.88109323085       93.4681885928      -3.73441236172
              ITER01                   1         39.55000255        631175283.49       4497.96854728       856.940866167       4511.34355449        10.786571317       44.7649799489       60.3538994724      -1.72935899328    -0.0638011280378  2020-01-01T18:26:54.306                1299                 0.4       -3.6848321623       93.1817113356      -3.53148557357
              ITER01                   1       39.3663636815       631175283.523       4497.60522463       857.012587318       4511.12498822       10.7883038843       44.7657528157       59.9561155319      -2.31608336328    -0.0856932529258  2020-01-01T18:26:54.339                1304                 0.7      -3.69072933835       92.9140607178      -3.53113654288
              ITER01                   1       39.2215867808       631175283.557       4497.31640821       857.069600683       4510.95124313       10.7896813413       44.7663672409       59.6399077068      -9.99654887574     -0.370709814874  2020-01-01T18:26:54.372                1546                 3.9      -3.87693454362       92.7021687519      -3.71238401617
              ITER01                   1       39.1112417171        631175283.59       4497.08556689        857.11516956       4510.81237448       10.7907824147       44.7668583618        59.387175245      -36.8995649742      -1.37087161958  2020-01-01T18:26:54.406                2174                 4.8      -4.24811680101       92.5333697243      -4.07960869031
              ITER01                   1       38.9209396188       631175283.624       4496.70474706       857.190344718       4510.58328232       10.7925990894       44.7676686272       58.9702451509      -55.9511777977      -2.08491617985  2020-01-01T18:26:54.439                1979                   1      -4.14792368763       92.2559947633      -3.97289666791
              ITER01                   1       38.7343581701       631175283.657       4496.33915375       857.262514105       4510.36335008       10.7943433958       44.7684465669       58.5699896935      -64.9526007463      -2.42730969669  2020-01-01T18:26:54.473                2860                 0.9      -4.54955212481       91.9910011623      -4.36827885193
              ITER01                   1       38.5382235314        631175283.69       4495.97623461       857.334155604       4510.14502654        10.796075204       44.7692188857         58.17266608      -39.8324094737      -1.49280423936  2020-01-01T18:26:54.506                3702                 3.4      -4.83167403888       91.7292075814      -4.64421224786
              ITER01                   1       38.3511824898       631175283.724       4495.63036857        857.40243076       4509.93696176       10.7977258782       44.7699549786       57.7940160509      -19.4158109426     -0.729623849689  2020-01-01T18:26:54.539                4325                 0.4      -5.00242785405        91.480895124      -4.80907988129
